Year,Area (use fill down),Street (use find and replace to replace the odd character with a space),Street 2 (in Refine use titlecase and cluster and edit),Strange HTML (use unescape HTML)
2011,,ståpaulsåbusåstationåwalsall,st pauls bus station walsall,
2011,,Ståpaul'såStreet,St paul's Street,
2011,," StåPauls,åBrookeåStåArcadeåWalsall"," St Pauls, Brooke St Arcade Walsall",
2011,,StåStephensåCourt,St Stephens Court,
2011,,staffordåst,stafford st,
2011,,StaffordåSt,Stafford St,
2011,,Staffordåstreet,Stafford street,
2011,," StanleyåStreet,åBloxwich"," Stanley Street, Bloxwich",
2011,,stephensonåavenue,stephenson avenue,
2011,,StevensonåSqåWalsall,Stevenson Sq Walsall,
2011,,stoneyålane,stoney lane,
2011,,stoneyålane,stoney lane,
2011,,StoneyåLaneåWalsall,Stoney Lane Walsall,
2011,,tameåstreet,tame street,
2011,,TannersåCourtåGlebeåStreetåCaldmoreåWalsall,Tanners Court Glebe Street Caldmore Walsall,
2011,,telfordåroad,telford road,
2011,," TESCO,åLittletonåStreet,åWalsall"," TESCO, Littleton Street, Walsall",
2011,,TheåBridgeåTownåCentreåWalsall,The Bridge Town Centre Walsall,
2011,,TheåBridgeåWalsall,The Bridge Walsall,
2011,," TheåBridge,åWalsall"," The Bridge, Walsall",
2011,,theågreenådarlaston,the green darlaston,
2011,,ThomasåHouseåBloxwichåStoneyåLane,Thomas House Bloxwich Stoney Lane,
2011,," Varsistyå,åLeicesteråståwalsall"," Varsisty , Leicester st walsall",
2011,," VictoriaåAvenue,åBloxwich."," Victoria Avenue, Bloxwich.",
2011,,Villageåhotel,Village hotel,
2011,," villageåhotel,åwalsall"," village hotel, walsall",
2011,,WalhouseåRd,Walhouse Rd,
2011,,walkeråroad,walker road,
2011,,WalsallåBusåStation,Walsall Bus Station,
2011,," WalsallåBusåStation,åStåPauls."," Walsall Bus Station, St Pauls.",
2011,,walsallåmanoråhospital,walsall manor hospital,
2011,,WalsallåManoråHospital,Walsall Manor Hospital,
2011,,WalsallåManoråHospital,Walsall Manor Hospital,
2011,,walsallåpoliceåstation,walsall police station,
2011,,WalsallåPoliceåStation,Walsall Police Station,
2011,,WalsallåPoliceåStation,Walsall Police Station,
2011,,WALSALLåPOLICEåSTATION,WALSALL POLICE STATION,
2011,,walsallåroad,walsall road,
2011,,Walsallåroadådarlaston,Walsall road darlaston,
2011,,Walsallåtrainåstation,Walsall train station,
2011,,WanderersåWay,Wanderers Way,
2011,,wednesburyård,wednesbury rd,
2011,,WEDNESBURYåRDåWALSALL,WEDNESBURY RD WALSALL,
2011,,WednesburyåRoad,Wednesbury Road,
2011,," WeståBromwichåRd,åWalsall"," West Bromwich Rd, Walsall",
2011,," WeståBromwichåRd,åWalsall"," West Bromwich Rd, Walsall",
2011,,WolverhamptonåRoadåOldbury,Wolverhampton Road Oldbury,
2011,,WolverhamptonåRoadåoldbury,Wolverhampton Road oldbury,
2011,,wolverhamptonåroadåwest,wolverhampton road west,
2011,,WolverhamptonåWandersåFC,Wolverhampton Wanders FC,
2011,,woodåendåroadåwednesfield,wood end road wednesfield,
2011,,WoodenåRoadåweståDarlaston,Wooden Road west Darlaston,
2011,,Ws1åWalsall,Ws1 Walsall,
2011,Wolverhampton,AåandåEåNewåCrossåHospital,A and E New Cross Hospital,
2011,,AlfredåSquireåRoad,Alfred Squire Road,
2011,,ArthuråStåWolverhampton,Arthur St Wolverhampton,
2011,,asdaåstoresåwÛton,asda stores wÛton,
2011,,asdaåstoresåwÛton,asda stores wÛton,
2011,," BadgeråDrive,åParkåVillage"," Badger Drive, Park Village",
2011,,BellamyåLane,Bellamy Lane,
2011,,BelmontåRoad,Belmont Road,
2011,,BelmontåRoad,Belmont Road,
2011,," BelmontåRoad,åPenn,åWÛton"," Belmont Road, Penn, WÛton",
2011,,BerryåStreet,Berry Street,
2011,,BilstonåBusåstation,Bilston Bus station,
2011,,BilstonåLabouråClub,Bilston Labour Club,
2011,,BilstonåRoad,Bilston Road,
2011,,BilstonåRoad,Bilston Road,
2011,,Bilstonåst,Bilston st,
2011,,BilstonåSt,Bilston St,
2011,,BilstonåSt,Bilston St,
2011,,BilstonåStåWolverhampton,Bilston St Wolverhampton,
2011,," BilstonåSt,åWolverhampton"," Bilston St, Wolverhampton",
2011,,BilstonåStreet,Bilston Street,
2011,,BilstonåStreet,Bilston Street,
2011,,BilstonåStreet,Bilston Street,
2011,,BilstonåStreet,Bilston Street,
2011,,BilstonåStreet,Bilston Street,
2011,,Bilstonåstreet,Bilston street,
2011,,BilstonåStreet,Bilston Street,
2011,,Bilstonåstreet,Bilston street,
2011,,BilstonåStreet,Bilston Street,
2011,,BilstonåStreet,Bilston Street,
2011,,BlackhalveåLane,Blackhalve Lane,
2011,,bradfordåstreet.åwalsalll,bradford street. walsalll,
2011,,BrantleyåAve,Brantley Ave,
2011,,BrantleyåAvenue,Brantley Avenue,
2011,,BroadåStåWolverhampton,Broad St Wolverhampton,
2011,," broadåSt,åwolverhampton"," broad St, wolverhampton",
2011,," BroadåSt,åWolves."," Broad St, Wolves.",
2011,," BroadåSt,åWolves."," Broad St, Wolves.",
2011,,BroadåStreet,Broad Street,
2011,,Broadåstreet,Broad street,
2011,," BroadåStreet,åwolverhampton"," Broad Street, wolverhampton",
2011,," BroadåStreet,åWolverhampton"," Broad Street, Wolverhampton",
2011,," BroadåStreet,åW'ton."," Broad Street, W'ton.",
2011,,BronwynåClose,Bronwyn Close,
2011,," BurlesdonåWalk,åWolves."," Burlesdon Walk, Wolves.",
2011,,BusåStation,Bus Station,
2011,,busåstationåpipersåroad,bus station pipers road,
2011,," BusåStation,åWolverhampton"," Bus Station, Wolverhampton",
2011,," BusåStation,åWolverhampton"," Bus Station, Wolverhampton",
2011,," CampionåHouse,åHeathåTown,åWolverhampton"," Campion House, Heath Town, Wolverhampton",
2011,,CannockåRdåWolverhampton,Cannock Rd Wolverhampton,
2011,," Caråpark,åNewåCrossåHospital,åWolverhampton"," Car park, New Cross Hospital, Wolverhampton",
2011,,castleåstreetåcityåcentre,castle street city centre,
2011,,castleåstreetåwolverhampton,castle street wolverhampton,
2011,," ChurchåStreet,åBilston"," Church Street, Bilston",
2011,," CoalwayåRoad,åWton"," Coalway Road, Wton",
2011,,CodsallåRoad,Codsall Road,
2011,," CoÛop,åHighåStreet,åWednesfield,åWton"," CoÛop, High Street, Wednesfield, Wton",
2011,,daltonåståwolverhampton,dalton st wolverhampton,
2011,,DarlingtonåSt,Darlington St,
2011,,Darlingtonåst,Darlington st,
2011,,DudleyåRoad,Dudley Road,
2011,," DudleyåRoad,åKingswinford"," Dudley Road, Kingswinford",
2011,,dudleyåstreet,dudley street,
2011,," DudleyåStreet,åWolverhampton"," Dudley Street, Wolverhampton",
2011,,DunstallåRoad,Dunstall Road,
2011,," DunstallåRoad,åWolverhampton"," Dunstall Road, Wolverhampton",
2011,," EdhamåRoad,åWolverhampton"," Edham Road, Wolverhampton",
2011,,ExchangeåStreet,Exchange Street,
2011,," ExchangeåStreet,åCityåCentre,åWolverhampton"," Exchange Street, City Centre, Wolverhampton",
2011,,FarndaleåAvenue,Farndale Avenue,
2011,,Fileyårdååwolverhampton,Filey rd  wolverhampton,
2011,,FrontåOffice,Front Office,
2011,,frontåoffice,front office,
2011,," FrontåOffice,åWolverhamptonåCentralåPS"," Front Office, Wolverhampton Central PS",
2011,,FrontåOffiveåBilstonåStreetåPolåStn,Front Offive Bilston Street Pol Stn,
2011,,FursåPublicåHouse,Furs Public House,
2011,,GAFO,GAFO,
2011,,Garrickåstreet,Garrick street,
2011,," GarrickåStreet,åwolverhampton"," Garrick Street, wolverhampton",
2011,,GreatåHamptonåStreet,Great Hampton Street,
2011,,GreatåHamptonåStreet,Great Hampton Street,
2011,,GreenparkåAvenue,Greenpark Avenue,
2011,," HadenåHill,åChapelåAsh,åWolverhampton"," Haden Hill, Chapel Ash, Wolverhampton",
2011,," HartåRoad,åWednesfield,Wton"," Hart Road, Wednesfield,Wton",
2011,,HighåStåBilston,High St Bilston,
2011,," IndiåBar,åLichfieldåStreet"," Indi Bar, Lichfield Street",
2011,,JackåhaywardåWay,Jack hayward Way,
2011,,Junctionå10åo/såVillageåHotel,Junction 10 o/s Village Hotel,
2011,," LaurelåRoad,åDudley"," Laurel Road, Dudley",
2011,,LeacroftåAvenue,Leacroft Avenue,
2011,,LeacroftåAvenue,Leacroft Avenue,
2011,," LennoxåGardens,åWton"," Lennox Gardens, Wton",
2011,,lewishamårdåwolverhampton,lewisham rd wolverhampton,
2011,,LichfiedlåStreet,Lichfiedl Street,
2011,,lichfieldåst,lichfield st,
2011,," lichfieldåst,åcityåcentre,åwolves"," lichfield st, city centre, wolves",
2011,," lichfieldåst,åwolverhampton"," lichfield st, wolverhampton",
2011,," LichfieldåSt,åWton"," Lichfield St, Wton",
2011,,LichfieldåStreet,Lichfield Street,
2011,,LichfieldåStreet,Lichfield Street,
2011,,LichfieldåStreet,Lichfield Street,
2011,,LichfieldåStreet,Lichfield Street,
2011,,LichfieldåStreet,Lichfield Street,
2011,,LichfieldåStreet,Lichfield Street,
2011,,LichfieldåStreet,Lichfield Street,
2011,," LichfieldåStreetå@PrincessåStreet,åwÛton"," Lichfield Street @Princess Street, wÛton",
2011,," LichfieldåStreet,åCityåCentre,åWÛton"," Lichfield Street, City Centre, WÛton",
2011,," LichfieldåStreet,åCityåCentre,åWÛton"," Lichfield Street, City Centre, WÛton",
2011,," LichfieldåStreet,åWolverhampton."," Lichfield Street, Wolverhampton.",
2011,," LichfieldåStreet,åW'ton."," Lichfield Street, W'ton.",
2011,,loweråvilliersåStreet,lower villiers Street,
2011,,LuntåRoad,Lunt Road,
2011,,MarketåStåwolverhampton,Market St wolverhampton,
2011,," Marketåst,åWolverhampton"," Market st, Wolverhampton",
2011,," MarketåSt,åWolves."," Market St, Wolves.",
2011,," MarketåSt,åWton"," Market St, Wton",
2011,,MarketåStreet,Market Street,
2011,,MarketåStreet,Market Street,
2011,,MarketåStreet,Market Street,
2011,,marketåStreet,market Street,
2011,,MarketåStreet,Market Street,
2011,,MarketåStreet,Market Street,
2011,," MarketåStreet,åCityåCentre,åWÛton"," Market Street, City Centre, WÛton",
2011,," MarketåStreet,åWolverhampton"," Market Street, Wolverhampton",
2011,," marketåstreet,åwolverhampton"," market street, wolverhampton",
2011,," MarketåStreet,åWolverhampton"," Market Street, Wolverhampton",
2011,," MarketåStreet,åwolverhampton"," Market Street, wolverhampton",
2011,," MarketåStreet,åWolverhampton"," Market Street, Wolverhampton",
2011,," MarketåStreet,åWolverhampton."," Market Street, Wolverhampton.",
2011,," MarketåStreet,åWolves"," Market Street, Wolves",
2011,," MarketåStreet,åWolves."," Market Street, Wolves.",
2011,,marsatonåroad,marsaton road,
2011,,marstonåRdåwolverhampton,marston Rd wolverhampton,
2011,," Millcroft,åwolves."," Millcroft, wolves.",
2011,,MoseleyååRDåWolverhampton,Moseley  RD Wolverhampton,
2011,," MoseleyåRoad,åBilston."," Moseley Road, Bilston.",
2011,,MountåPleasant,Mount Pleasant,
2011,," MountåPlesant,åBilston"," Mount Plesant, Bilston",
2011,," nearåyatesåwineåbar,åWolvesåcityåcentre."," near yates wine bar, Wolves city centre.",
2011,,newå|crossåHospital,new |cross Hospital,
2011,,NewåCrossåHospital,New Cross Hospital,
2011,,NewåcrossåHospital,New cross Hospital,
2011,,newåCrossåHospital,new Cross Hospital,
2011,,NewåCrossåHospital,New Cross Hospital,
2011,," NewåCrossåhospital,åwolverhampton"," New Cross hospital, wolverhampton",
2011,," NewåCrossåHospital,åWolverhampton"," New Cross Hospital, Wolverhampton",
2011,,NewåXåHospital,New X Hospital,
2011,," NewåXåHospital,åWÛton"," New X Hospital, WÛton",
2011,,newcrossåHospital,newcross Hospital,
2011,," NorfoldåRoad,åPewnnfields,åWÛton"," Norfold Road, Pewnnfields, WÛton",
2011,,NorthåStreet,North Street,
2011,,NorthåStreet,North Street,
2011,,NorthåStreet,North Street,
2011,,NorthåStreet,North Street,
2011,,NorthåStreet,North Street,
2011,,NorthåStreetåTownåCentreåWolverhampton,North Street Town Centre Wolverhampton,
2011,," NorthwoodåParkåRoad,åWolves."," Northwood Park Road, Wolves.",
2011,,O/såGrapesåPHååMoseleyåRoad,O/s Grapes PH  Moseley Road,
2011,,O/såOceanaåBilstonåstreetå.,O/s Oceana Bilston street .,
2011,," OustideåYates,åWolverhampton"," Oustide Yates, Wolverhampton",
2011,,outsdieåyates'åwineåbaråwolverhampton,outsdie yates' wine bar wolverhampton,
2011,," OutsideåSubwayåSandwichåShop,åQueensåSquare,åWolverhampton"," Outside Subway Sandwich Shop, Queens Square, Wolverhampton",
2011,,OutsideåtheååAvondale,Outside the  Avondale,
2011,,OutsideåtheåIndieåBaråå.,Outside the Indie Bar  .,
2011,," OutsideåYates,åNorthåStreet,åWolverhampton"," Outside Yates, North Street, Wolverhampton",
2011,,OwenåRoad,Owen Road,
2011,,ParkfieldåRd,Parkfield Rd,
2011,,PennåRoad,Penn Road,
2011,," PennåRoad,åWolves"," Penn Road, Wolves",
2011,,PipersåRowåWolverhampton,Pipers Row Wolverhampton,
2011,," PipersåRow,åWolverhampton"," Pipers Row, Wolverhampton",
2011,," PipersåRow,åW'ton."," Pipers Row, W'ton.",
2011,," PowellåSt,åwoolverhampton"," Powell St, woolverhampton",
2011,,PrestwoodåRoad,Prestwood Road,
2011,,PricessåStreet,Pricess Street,
2011,,PricessåStreet,Pricess Street,
2011,," PrinceåCharlesåPub,Bushbury"," Prince Charles Pub,Bushbury",
2011,," PrincessåSt,åWton"," Princess St, Wton",
2011,,princessåstreet,princess street,
2011,,princessåstreet,princess street,
2011,,PrincessåStreet,Princess Street,
2011,,PrincessåStreet,Princess Street,
2011,,PrincessåStreet,Princess Street,
2011,," PrincessåStreet,Walsall"," Princess Street,Walsall",
2011,,prinesåSt,prines St,
2011,," ProbertåRoad,åWton"," Probert Road, Wton",
2011,," ProsseråSt,åWolves"," Prosser St, Wolves",
2011,,ProsseråStreet,Prosser Street,
2011,,ProwellåSt,Prowell St,
2011,," QueenåSq,åWton"," Queen Sq, Wton",
2011,,QueenåSquare,Queen Square,
2011,,queenåsquare,queen square,
2011,,QueenåSquare,Queen Square,
2011,," QueenåSquare,åWolverhampton"," Queen Square, Wolverhampton",
2011,," QueenåSquare,åWolverhampton"," Queen Square, Wolverhampton",
2011,," QueenåSquare,åWton"," Queen Square, Wton",
2011,," QueenåSqusre,åCityåCentre,åWolverhampton"," Queen Squsre, City Centre, Wolverhampton",
2011,,QueenåSt,Queen St,
2011,,QueenåSt,Queen St,
2011,,QueenåStåWolverhampton,Queen St Wolverhampton,
2011,,QueenåStåWolverhampton,Queen St Wolverhampton,
2011,,QueenåStåWolverhampton,Queen St Wolverhampton,
2011,,QueenåSt/MarketåStåWolverhampton,Queen St/Market St Wolverhampton,
2011,,QueenåSt/MarketåStreetååjunction,Queen St/Market Street  junction,
2011,,QueenåStreet,Queen Street,
2011,,QueenåStreet,Queen Street,
2011,,QueenåStreet,Queen Street,
2011,,QueenåStreet,Queen Street,
2011,,QueenåStreet,Queen Street,
2011,," QueenåStreet,åwolverhampton"," Queen Street, wolverhampton",
2011,," QueenåStreet,åWolverhampton"," Queen Street, Wolverhampton",
2011,," QueenåStreet,åWolverhampton"," Queen Street, Wolverhampton",
2011,," QueenåStreet,åwÛton"," Queen Street, wÛton",
2011,," QueensåSquare,åWolverhampton"," Queens Square, Wolverhampton",
2011,," QUEENSåSQUARE,åWOLVERHAMPTON"," QUEENS SQUARE, WOLVERHAMPTON",
2011,,QueensåStreet,Queens Street,
2011,,RearåofåCivicåCentreåWolverhampton,Rear of Civic Centre Wolverhampton,
2011,,RingåRoad,Ring Road,
2011,," RingåRoadåStåGeorges,åWolves."," Ring Road St Georges, Wolves.",
2011,," RoyalåLondonåP/H,WolvesåCityåcentre."," Royal London P/H,Wolves City centre.",
2011,,SainsburysåStåGeorges,Sainsburys St Georges,
2011,," Salopåst,åwolverhampton"," Salop st, wolverhampton",
2011,," SalopåSt,åWolves."," Salop St, Wolves.",
2011,," SchoolåSt,åWton"," School St, Wton",
2011,,SchoolåStreet,School Street,
2011,,SchoolåStreet,School Street,
2011,," SchoolåStreet,åwÛton"," School Street, wÛton",
2011,," SchoolåStreet,åW'ton."," School Street, W'ton.",
2011,,ShowellåCircus,Showell Circus,
2011,," ståGeorgesåparade,åwolverhampton"," st Georges parade, wolverhampton",
2011,," StåGeorgesåParade,åWolverhampton"," St Georges Parade, Wolverhampton",
2011,," staffordåroad,åwolverhampton"," stafford road, wolverhampton",
2011,,StaffordåSt,Stafford St,
2011,," StaffordåSt,åWton"," Stafford St, Wton",
2011,,StaffordåStreet,Stafford Street,
2011,,StaffordåStreet,Stafford Street,
2011,," StaffordåStreet,åWolverhampton."," Stafford Street, Wolverhampton.",
2011,," SteelåParkåLane,åWton"," Steel Park Lane, Wton",
2011,,SubwayåunderåtrafficåislandåatåjunctionåofåRingåRoadåandåBilstonåStreet,Subway under traffic island at junction of Ring Road and Bilston Street,
2011,," SweetmanåStreet,åWton"," Sweetman Street, Wton",
2011,,TempleåSt,Temple St,
2011,,TettenhallåRoad,Tettenhall Road,
2011,,tettenhallåRoad,tettenhall Road,
2011,," TheåVarsity,åCityåCentre"," The Varsity, City Centre",
2011,,ThornleyåStreet,Thornley Street,
2011,,ToweråStreet,Tower Street,
2011,," TrainåStation,åWolverhampton"," Train Station, Wolverhampton",
2011,,TrysullåRoad,Trysull Road,
2011,," VicarageåRoad,åWton"," Vicarage Road, Wton",
2011,,VictoriaåRoad,Victoria Road,
2011,," VictoriaåRoad,åWfield,åWton"," Victoria Road, Wfield, Wton",
2011,," VIctoriaåRoad,åWfield,Wton"," VIctoria Road, Wfield,Wton",
2011,,victoriaåst,victoria st,
2011,,VictoriaåStreet,Victoria Street,
2011,,VictoriaåStreet,Victoria Street,
2011,," VictoriaåStreet,åWolverhampton"," Victoria Street, Wolverhampton",
2011,," VictoriaåStreet,åWolverhampton"," Victoria Street, Wolverhampton",
2011,," VictoriaåStreet,åWÛton"," Victoria Street, WÛton",
2011,," VilliersåAvenue,åWolverhampton"," Villiers Avenue, Wolverhampton",
2011,,WallaceåRd,Wallace Rd,
2011,," WallaceåRoad,åBradley"," Wallace Road, Bradley",
2011,," WalsallåSt,åBilston."," Walsall St, Bilston.",
2011,," WanderersåAvenue,åBlakenhall"," Wanderers Avenue, Blakenhall",
2011,," WanderersåAvenue,åWton"," Wanderers Avenue, Wton",
2011,," WarnfordåWalk,åMerryåHill,åwÛton"," Warnford Walk, Merry Hill, wÛton",
2011,,warstonesådrive,warstones drive,
2011,,waterlooåRd,waterloo Rd,
2011,,WaterlooåRdåWolverhampton,Waterloo Rd Wolverhampton,
2011,," WednesfieldåHighåStreet,åWolves."," Wednesfield High Street, Wolves.",
2011,,WellingtonåRoad,Wellington Road,
2011,," WhiteåOaksåStreet,åWton"," White Oaks Street, Wton",
2011,,whitegatesådriveåcoseley,whitegates drive coseley,
2011,," WillenhallåRoad,åEaståPark,åWolverhampton"," Willenhall Road, East Park, Wolverhampton",
2011,," WillenhallåRoad,åJtnåDeansåRoad,åWton"," Willenhall Road, Jtn Deans Road, Wton",
2011,,WilliamåHillåMarketåStreet,William Hill Market Street,
2011,,WolverhamptnåTrainåStation,Wolverhamptn Train Station,
2011,,Wolverhamptonååtrainåstation,Wolverhampton  train station,
2011,,WolverhamptonåRailwayåStation,Wolverhampton Railway Station,
2011,,WolverhamptonåRailwayåStation,Wolverhampton Railway Station,
2011,,WolverhamptonåRailwayåStation,Wolverhampton Railway Station,
2011,,wolverhamptonåroadåwednesfield,wolverhampton road wednesfield,
2011,," WolverhamptonåRoad,åWednesfield,åWton"," Wolverhampton Road, Wednesfield, Wton",
2011,,wolverhamptonåtrainåstation,wolverhampton train station,
2011,,wolvesårailwayåstation,wolves railway station,
2011,," WoodåEndåRoad,åWednesfield"," Wood End Road, Wednesfield",
2011,," WoodlandåAvenue,åTettenhallåWood"," Woodland Avenue, Tettenhall Wood",
2011,,WoolpackåAlley,Woolpack Alley,
2011,,WordsworthåAvenue,Wordsworth Avenue,
2011,,WtonåTrainåStation,Wton Train Station,
2011,,WVåFrontåoffice,WV Front office,
2011,,WVFO,WVFO,
2011,,WVFO,WVFO,
2012,Birmingham,Clemenceåroad,Clemence road,
2012,,Clemenceåroad,Clemence road,
2012,,Clemenceåroad,Clemence road,
2012,,Clemenceåroad,Clemence road,
2012,,Clemenceåroad,Clemence road,
2012,,acocksågreenåpoliceåstation,acocks green police station,
2012,,AlbertåRoad,Albert Road,
2012,,AlcesteråRdåmoseley,Alcester Rd moseley,
2012,,AlcesteråRoad,Alcester Road,
2012,,alcesteråroad,alcester road,
2012,,ALCESTERåROADåMOSELEY,ALCESTER ROAD MOSELEY,
2012,,AlcesteråRoadåMoseley,Alcester Road Moseley,
2012,,AlcesteråRoadåOutsideåCrossåPH,Alcester Road Outside Cross PH,
2012,," AlcesteråRoad,åMoseley."," Alcester Road, Moseley.",
2012,,AlecesteråRoad,Alecester Road,
2012,,AlumåRockåRoad,Alum Rock Road,
2012,,AlumåRockåRoad,Alum Rock Road,
2012,,AlumåRockåRoad,Alum Rock Road,
2012,," AlumåRockåRoad,åAlumåRock"," Alum Rock Road, Alum Rock",
2012,," BanfordåRoad,åWardåEnd"," Banford Road, Ward End",
2012,,BELCHERSåLANE,BELCHERS LANE,
2012,,BelgraveåMiddleåway,Belgrave Middle way,
2012,,BelgraviaåClose,Belgravia Close,
2012,,BENNETTSåHILLåCITYåCENTRE,BENNETTS HILL CITY CENTRE,
2012,,BerkelyåRoad,Berkely Road,
2012,," BirchleyåRiseå@åWagonåLane,åOlton"," Birchley Rise @ Wagon Lane, Olton",
2012,,BirchtreeåDrive,Birchtree Drive,
2012,,BirminghamåNewåStreet,Birmingham New Street,
2012,," BirminghamåRoad,åCastleåBromwich"," Birmingham Road, Castle Bromwich",
2012,," BirminghamåRoad,åSuttonåColdfield"," Birmingham Road, Sutton Coldfield",
2012,,BistolåRoadåSellyåOak,Bistol Road Selly Oak,
2012,,BlakeåPlace.åBordesleyåGreen,Blake Place. Bordesley Green,
2012,,BordesleyåGreen,Bordesley Green,
2012,,BordesleyåGreenåEast,Bordesley Green East,
2012,," BordesleyåGreenåRoad,åBordesleyåGreen"," Bordesley Green Road, Bordesley Green",
2012,,BordesleyåGreen.,Bordesley Green.,
2012,," BordeslyåGreen,åBordesleyåGreen"," Bordesly Green, Bordesley Green",
2012,," BoscombeåRoad,åTyseley,"," Boscombe Road, Tyseley,",
2012,,Bournvilleålane,Bournville lane,
2012,,bristolåroad,bristol road,
2012,,BristolåRoadåSouth,Bristol Road South,
2012,,BroadåStreet,Broad Street,
2012,,BroadåStreet,Broad Street,
2012,,BroadåStreet,Broad Street,
2012,,BroadåStreet,Broad Street,
2012,,BrookhillåRoad,Brookhill Road,
2012,,BrooklandsåRoad,Brooklands Road,
2012,,brunswickåroad,brunswick road,
2012,," BULLSåHEAD,åMOSELY"," BULLS HEAD, MOSELY",
2012,,CaldwellåRoad,Caldwell Road,
2012,," ChurchåRoad,åYardley"," Church Road, Yardley",
2012,," ChurchåRoad,åYardley"," Church Road, Yardley",
2012,," ChurchåRoad,åYewåTree"," Church Road, Yew Tree",
2012,,ClodeshallåRoad,Clodeshall Road,
2012,,ColeshillåRoad,Coleshill Road,
2012,,CotterillsåLane,Cotterills Lane,
2012,,CoventryååRoad,Coventry  Road,
2012,," Coventryårdå,åSheldonå,åNråBritishålegionåIvyåLeaf."," Coventry rd , Sheldon , Nr British legion Ivy Leaf.",
2012,,CoventryåRd.,Coventry Rd.,
2012,,CoventryåRoad,Coventry Road,
2012,," CoventryåRoad,åSmallåHeath"," Coventry Road, Small Heath",
2012,,CranesParkåRoad,CranesPark Road,
2012,,DaleåEnd,Dale End,
2012,," DrewsåLane,åWardåEnd"," Drews Lane, Ward End",
2012,,ElizabethåRoad,Elizabeth Road,
2012,," EmilyåRoad,åAcocksåGreen,åBirmingham"," Emily Road, Acocks Green, Birmingham",
2012,," FlaxtonåGrove,åKittsåGreen"," Flaxton Grove, Kitts Green",
2012,," FoxtonåRoad,åWashwoodåHeath"," Foxton Road, Washwood Heath",
2012,,FRONTåOFFCIEåKINGSåHEATHåPOLICEåSTATION,FRONT OFFCIE KINGS HEATH POLICE STATION,
2012,," FrontåOffice,åStechfordåPoliceåStation"," Front Office, Stechford Police Station",
2012,,gibbinsåroad,gibbins road,
2012,,GilsanåWay,Gilsan Way,
2012,,GospelåFarmåRoad,Gospel Farm Road,
2012,," GospelåLane,åAcocksåGreen"," Gospel Lane, Acocks Green",
2012,,GreenålaneåBordesleyåGreen,Green lane Bordesley Green,
2012,,greswoldåroad,greswold road,
2012,,HarbourneåRoadåHarbourne,Harbourne Road Harbourne,
2012,," HazelvilleåRoad,ååHallåGreen"," Hazelville Road,  Hall Green",
2012,,HeartlandsåHospital,Heartlands Hospital,
2012,,HeartlandsåHospital,Heartlands Hospital,
2012,,HeartlandsåHospital,Heartlands Hospital,
2012,,Heartlandsåhospital,Heartlands hospital,
2012,,heathfieldåroad,heathfield road,
2012,,HerrickåRoad,Herrick Road,
2012,,HighåStreet,High Street,
2012,,HighåStreetåKingsåHeath,High Street Kings Heath,
2012,,HighåStreetåSolihull,High Street Solihull,
2012,,HighfieldåRoad,Highfield Road,
2012,,HighfieldåRoadåSparkåBrook.,Highfield Road Spark Brook.,
2012,,HomeåAddress,Home Address,
2012,,HomeråRdånearåHolidayåInn,Homer Rd near Holiday Inn,
2012,,HorrellåRoadåSheldon,Horrell Road Sheldon,
2012,,IvyåHouseåRoadåWeståHeath,Ivy House Road West Heath,
2012,,JakemanåRoad,Jakeman Road,
2012,,juniperåclose,juniper close,
2012,,KembertonåRoad,Kemberton Road,
2012,,kingsåheathåhighåst,kings heath high st,
2012,,KingsåNortonåGreen,Kings Norton Green,
2012,,Ladyåpoolåroad,Lady pool road,
2012,,LadyåPoolåRoad,Lady Pool Road,
2012,,LadypoolåRoad,Ladypool Road,
2012,,LeaåHallåRoad,Lea Hall Road,
2012,,loweråSevernåStreet,lower Severn Street,
2012,,MaryåStreet,Mary Street,
2012,,MaryåStreet,Mary Street,
2012,,middleåparkåroad,middle park road,
2012,,Milestoneåhouse,Milestone house,
2012,,Milestoneåhouse,Milestone house,
2012,,Milestoneåhouse,Milestone house,
2012,,MonyhullåRoad,Monyhull Road,
2012,,MoseleyåRoad,Moseley Road,
2012,,NewåStreetåRailwayåStation,New Street Railway Station,
2012,,NewåStreetåStation,New Street Station,
2012,,Northlieghårdåwardåend,Northliegh rd ward end,
2012,," O/SåAssemblyåRooms,åPoplaråWay,åSolihull"," O/S Assembly Rooms, Poplar Way, Solihull",
2012,," O/SåAssemblyåRooms,åSolihullåTownåCentre"," O/S Assembly Rooms, Solihull Town Centre",
2012,," o/såChargrillåChicken,åCoventryåRoad"," o/s Chargrill Chicken, Coventry Road",
2012,,OltonåBoulevardåEast,Olton Boulevard East,
2012,,OUTåSIDEåFISHåBARåHOBMOOREåROAD.,OUT SIDE FISH BAR HOBMOORE ROAD.,
2012,,outsideåArdenåoakåpub,outside Arden oak pub,
2012,," outsideåståcolombiaånurseryå,alcesteråroad"," outside st colombia nursery ,alcester road",
2012,,OutsideåtheåBullsåHead,Outside the Bulls Head,
2012,," ParkeråStreet,åEdgbaston"," Parker Street, Edgbaston",
2012,,ParklandåonåTheåHeathway,Parkland on The Heathway,
2012,,PartridgeåRoad,Partridge Road,
2012,,PershoreåRoad,Pershore Road,
2012,," PlymouthåRoad,åStirchley"," Plymouth Road, Stirchley",
2012,," PoplaråRoad,åSolihull"," Poplar Road, Solihull",
2012,,reaåroad,rea road,
